TestFile,Epoch,Answer,Prediction
1_mp3,700,23,20
1_mp3,700,30,47
1_mp3,710,88,51
1_mp3,710,6,53
1_mp3,710,31,22
1_mp3,710,75,32
1_mp3,710,27,44
1_mp3,710,90,78
1_mp3,710,96,39
1_mp3,710,8,50
1_mp3,710,34,46
1_mp3,710,69,67
1_mp3,720,91,59
1_mp3,720,69,51
1_mp3,720,13,51
1_mp3,720,34,37
1_mp3,720,71,76
1_mp3,720,90,54
1_mp3,720,22,43
1_mp3,720,71,68
1_mp3,720,81,64
1_mp3,720,60,85
1_mp3,730,44,32
1_mp3,730,79,36
1_mp3,730,83,50
1_mp3,730,96,35
1_mp3,730,29,10
1_mp3,730,32,24
1_mp3,730,34,26
1_mp3,730,68,32
1_mp3,730,74,68
1_mp3,730,68,61
1_mp3,740,46,42
1_mp3,740,78,72
1_mp3,740,70,41
1_mp3,740,76,50
1_mp3,740,74,35
1_mp3,740,71,31
1_mp3,740,91,79
1_mp3,740,68,44
1_mp3,740,36,35
1_mp3,740,32,16
1_mp3,750,54,46
1_mp3,750,53,40
1_mp3,750,64,37
1_mp3,750,81,53
1_mp3,750,65,68
1_mp3,750,93,83
1_mp3,750,70,67
1_mp3,750,82,36
1_mp3,750,91,41
1_mp3,750,37,21
1_mp3,760,47,37
1_mp3,760,44,39
1_mp3,760,94,58
1_mp3,760,67,52
1_mp3,760,23,19
1_mp3,760,41,40
1_mp3,760,23,14
1_mp3,760,59,56
1_mp3,760,82,82
1_mp3,760,89,59
1_mp3,770,42,37
1_mp3,770,30,26
1_mp3,770,46,55
1_mp3,770,11,22
1_mp3,770,67,56
1_mp3,770,89,44
1_mp3,770,60,47
1_mp3,770,65,54
1_mp3,770,97,100
1_mp3,770,24,16
1_mp3,780,31,24
1_mp3,780,5,52
1_mp3,780,50,49
1_mp3,780,12,48
1_mp3,780,28,27
1_mp3,780,43,32
1_mp3,780,59,53
1_mp3,780,68,60
1_mp3,780,34,39
1_mp3,780,68,63
1_mp3,790,90,88
1_mp3,790,51,41
1_mp3,790,5,65
1_mp3,790,62,63
1_mp3,790,98,71
1_mp3,790,78,56
1_mp3,790,9,17
1_mp3,790,13,73
1_mp3,790,53,29
1_mp3,790,6,48
1_mp3,800,43,27
1_mp3,800,66,40
1_mp3,800,57,40
1_mp3,800,37,23
1_mp3,800,83,41
1_mp3,800,45,32
1_mp3,800,4,50
1_mp3,800,63,39
1_mp3,800,68,30
1_mp3,800,56,41
1_mp3,810,49,28
1_mp3,810,78,39
1_mp3,810,37,23
1_mp3,810,76,46
1_mp3,810,96,58
1_mp3,810,97,48
1_mp3,810,29,26
1_mp3,810,5,30
1_mp3,810,44,21
1_mp3,810,29,24
1_mp3,820,61,51
1_mp3,820,11,53
1_mp3,820,15,56
1_mp3,820,90,58
1_mp3,820,66,51
1_mp3,820,6,60
1_mp3,820,62,46
1_mp3,820,82,74
1_mp3,820,73,61
1_mp3,820,66,73
1_mp3,830,86,94
1_mp3,830,32,45
1_mp3,830,28,30
1_mp3,830,64,69
1_mp3,830,64,50
1_mp3,830,7,52
1_mp3,830,86,45
1_mp3,830,28,18
1_mp3,830,84,76
1_mp3,830,3,63
1_mp3,840,40,40
1_mp3,840,44,43
1_mp3,840,43,28
1_mp3,840,40,33
1_mp3,840,34,32
1_mp3,840,38,39
1_mp3,840,47,35
1_mp3,840,16,18
1_mp3,840,14,41
1_mp3,840,35,40
1_mp3,850,50,50
1_mp3,850,20,51
1_mp3,850,60,60
1_mp3,850,17,48
1_mp3,850,30,20
1_mp3,850,43,53
1_mp3,850,20,37
1_mp3,850,36,34
1_mp3,850,41,60
1_mp3,850,13,58
1_mp3,860,71,51
1_mp3,860,97,65
1_mp3,860,22,16
1_mp3,860,54,69
1_mp3,860,37,32
1_mp3,860,67,41
1_mp3,860,70,53
1_mp3,860,85,60
1_mp3,860,65,58
1_mp3,860,49,54
1_mp3,870,32,29
1_mp3,870,68,76
1_mp3,870,6,46
1_mp3,870,66,71
1_mp3,870,85,54
1_mp3,870,10,51
1_mp3,870,35,32
1_mp3,870,63,64
1_mp3,870,11,36
1_mp3,870,60,78
1_mp3,880,64,76
1_mp3,880,59,76
1_mp3,880,87,85
1_mp3,880,18,44
1_mp3,880,26,33
1_mp3,880,77,100
1_mp3,880,70,54
1_mp3,880,51,42
1_mp3,880,16,23
1_mp3,880,53,38
1_mp3,890,47,79
1_mp3,890,71,67
1_mp3,890,6,40
1_mp3,890,7,33
1_mp3,890,71,54
1_mp3,890,31,24
1_mp3,890,91,48
1_mp3,890,88,64
1_mp3,890,86,58
1_mp3,890,72,50
1_mp3,900,5,49
1_mp3,900,76,49
1_mp3,900,78,60
1_mp3,900,42,38
1_mp3,900,60,51
1_mp3,900,19,22
1_mp3,900,84,72
1_mp3,900,82,43
1_mp3,900,67,42
1_mp3,900,94,66
